ASY,PCB,Family,Top Priority 1,Top Priority 2,Top Priority 3,Bot Priority 1,Bot Priority 2,Bot Priority 3,# Circuits
96301202,,SLC-20,SM8,,,SM1,,,4
96301202,96301294,SLC-20,SM8,,,SM1,,,4
96320407,96320499,POINT-13,SM8,,,SM8,,,9
96331001,96331092,CMX-18,SM8,,,SM8,,,48
96347801,96347893,FLEX-15,SM8,,,SM5,,,9
96356601,96356691,CMX-18,SM8,,,SM8,,,48
96394603,96394693,CMX-17,SM8,,,SM5,,,6
96406802,96406894,CMX-16,SM1,,,SM1,,,4
96437202,96437293,POINT-23,SM8,,,SM8,,,8
96438801,96438891,POINT-29,SM8,,,SM8,,,12
96441205,96441295,CMX-8,SM8,,,SM8,,,10
96441404,96441494,CMX-11,SM8,,,SM8,,,4
96445201,96445291,CMX-16,SM1,,,SM1,,,4
96447001,96447091,POINT-43,SM8,,,SM8,,,10
96448201,96448293,TO-BE-DECIDED,SM1,,,SM1,,,10
96448802,96448895,SLC-6,SM8,,,SM8,,,
96448802,,SLC-6,SM8,,,SM8,,,2
96448802,96448895,SLC-6,SM8,,,SM8,,,2
96452801,96453093,CMX-24,SM4,,,SM4,,,2
96453001,96453093,CMX-24,SM4,,,SM4,,,2
96462001,96462095,FLEX-38,SM1,,,SM1,,,4
96477601,96477692,TO-BE-DECIDED,SM1,,,SM1,,,10
PN-100719,PN-116079,JQS-3,SM5,,,SM5,,,80
PN-100733,PN-134030,JQS-4,SM1,,,SM1,,,80
PN-101986,92425091,FLEX-16,SM8,,,SM4,,,6
PN-101987,92425091,FLEX-16,SM8,,,SM4,,,6
PN-102512,96425893,FLEX-17,SM2,,,SM2,,,4
PN-103468,PN-103435,FLEX-53,SM8,,,,,,8
PN-107268,92425091,FLEX-16,SM8,,,SM4,,,
PN-108357,PN-66342,FLEX-6,SM2,,,SM2,,,
PN-108357,PN-99602,FLEX-6,SM2,,,SM2,,,4
PN-108358,PN-66342,FLEX-6,SM2,,,SM2,,,
PN-108358,PN-99602,FLEX-6,SM2,,,SM2,,,4
PN-108955,PN-134030,JQS-4,,,,,,,
PN-108956,PN-134030,JQS-4,,,,,,,
PN-108957,PN-134030,JQS-4,,,,,,,
PN-108958,PN-134030,JQS-4,,,,,,,
PN-108959,PN-134030,JQS-4,,,,,,,
PN-108960,PN-134030,JQS-4,,,,,,,
PN-113348,96219694,FLEX-21,SM8,,,SM8,,,6
PN-113350,96235894,FLEX-21,SM8,,,SM4,,,12
PN-113351,96235894,FLEX-21,SM8,,,SM4,,,
PN-116080,PN-116079,JQS-3,SM5,,,SM5,,,80
PN-116908,PN-116909,CMX-28,SM1,,,SM4,,,4
PN-117016,PN-117017,CMX-8,SM1,,,SM1,,,10
PN-117115,PN-117116,CMX-27,SM1,,,SM1,,,9
PN-117177,PN-117175,CLX-13,,,,,,,36
PN-117220,PN-116911,CMX-5,SM1,,,SM1,,,2
PN-117222,PN-116910,CMX-8,SM8,,,SM8,,,10
PN-117224,PN-116912,CMX-8,SM1,,,SM1,,,10
PN-117225,PN-116914,CMX-8,SM1,,,SM1,,,10
PN-117226,PN-116915,CMX-23,SM8,,,SM8,,,4
PN-117227,PN-116916,CMX-21,SM1,,,SM1,,,2
PN-117228,PN-116915,CMX-23,SM8,,,SM8,,,4
PN-117229,PN-116916,CMX-21,SM1,,,SM1,,,2
PN-117230,PN-116917,CMX-8,SM1,,,SM1,,,10
PN-117385,PN-116079,JQS-3,SM5,,,SM5,,,80
PN-117875,PN-117885,RNG-1,SM8,,,SM8,,,24
PN-117876,PN-117885,RNG-1,SM8,,,SM8,,,24
PN-117877,PN-117885,RNG-1,SM8,,,SM8,,,24
PN-117879,PN-117888,RNG-1,SM8,,,SM8,,,12
PN-117880,PN-117888,RNG-1,SM8,,,SM8,,,12
PN-117881,PN-117888,RNG-1,SM8,,,SM8,,,12
PN-119877,PN-119876,CMX-8,SM1,,,SM1,,,10
PN-120101,PN-120102,PVC-2,SM1,,,SM4,,,4
PN-120836,PN-114302,CMX-13,SM7,,,,,,2
PN-120847,PN-114302,CMX-13,SM7,,,,,,2
PN-122419,96448895,SLC-6,SM8,,,SM8,,,2
PN-122548,PN-122547,FLEX-56,SM8,,,SM8,,,6
PN-122837,PN-122839,CMX-27,SM1,,,SM1,,,9
PN-125066,PN-125065,FLEX-72,SM8,,,SM8,,,15
